date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:08	79170/79170	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/UPVC-Window-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/UPVC-Window-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:08	76222/76222	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Electrical-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Electrical-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:09	89026/89026	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Ferrous-And-Nonferrous-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Ferrous-And-Nonferrous-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:09	65990/65990	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/GI-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/GI-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:10	76222/76222	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Iron-Pipes-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Iron-Pipes-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:11	77501/77501	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Steel-Pipes-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Steel-Pipes-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:11	68548/68548	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Iron-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Iron-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:12	68548/68548	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Lead-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Lead-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:12	76412/76412	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/CPVC-Pipes-buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/CPVC-Pipes-buyer.html	(from http://www.scrapbuyerss.com/)
20:33:13	77501/77501	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Motor-Parts-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Motor-Parts-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:13	71106/71106	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Nickel-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Nickel-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:14	82631/82631	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Office-Furnitures-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Office-Furnitures-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:14	82631/82631	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Air-Condition-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Air-Condition-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:15	77515/77515	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Machinery-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Machinery-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:16	76236/76236	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Vehicles-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Vehicles-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:16	73678/73678	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Pet-Bottle-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Pet-Bottle-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:17	75361/75361	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Pvc-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Pvc-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:17	72385/72385	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Plastic-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Plastic-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:18	73678/73678	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/PVB-Rubber-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/PVB-Rubber-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:19	80073/80073	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Stainless-Steel-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Stainless-Steel-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:19	74943/74943	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/TMT-Steel-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/TMT-Steel-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:20	71106/71106	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Wooden-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Wooden-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:20	77501/77501	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Tower-Angel-Scrap-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Tower-Angel-Scrap-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:21	78826/78826	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Furniture-Buyer.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Furniture-Buyer.html	(from http://www.scrapbuyerss.com/)
20:33:21	67642/67642	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/We-Sell.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/We-Sell.html	(from http://www.scrapbuyerss.com/)
